sys.exec.out.time {s},vehicle.planet_rel_state.topodetic.T_pfix_to_this[0][0] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[0][1] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[0][2] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[1][0] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[1][1] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[1][2] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[2][0] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[2][1] {--},vehicle.planet_rel_state.topodetic.T_pfix_to_this[2][2] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[0][0] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[0][1] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[0][2] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[1][0] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[1][1] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[1][2] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[2][0] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[2][1] {--},vehicle.planet_rel_state.topodetic.T_inrtl_to_this[2][2] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[0][0] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[0][1] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[0][2] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[1][0] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[1][1] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[1][2] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[2][0] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[2][1] {--},vehicle.planet_rel_state.topodetic.T_this_to_body[2][2] {--},vehicle.planet_rel_state.topodetic.E_this_to_body_YPR[0] {rad},vehicle.planet_rel_state.topodetic.E_this_to_body_YPR[1] {rad},vehicle.planet_rel_state.topodetic.E_this_to_body_YPR[2] {rad}
                   0,-0.03715358793709374,  0.5239183460451322,  0.8509578001174523,  0.9974949866040544, 0.07073720166770291,                   0,-0.06019437351761304,  0.8488261394287737, -0.5252340644124924, 0.03715358793709374, -0.5239183460451322,  0.8509578001174523, -0.9974949866040544,-0.07073720166770291,                   0, 0.06019437351761304, -0.8488261394287737, -0.5252340644124924,-0.03715358793709374,  0.9974949866040544,-0.06019437351761304,  0.5239183460451322, 0.07073720166770291,  0.8488261394287737,  0.8509578001174523,                   0, -0.5252340644124924,   1.608026008429969, 0.06023078392354545,   2.124908131470671
                   5,-0.04071009635216179,  0.5236452075592498,  0.8509632099305046,  0.9969915919005264, 0.07750977796158511,                   0,-0.06595796945519114,  0.8484031653173956, -0.5252252996046288, 0.04071009635216179, -0.5236452075592498,  0.8509632099305046, -0.9969915919005264,-0.07750977796158511,                   0, 0.06595796945519114, -0.8484031653173956, -0.5252252996046288,-0.04071009635216179,  0.9969915919005264,-0.06595796945519114,  0.5236452075592498, 0.07750977796158511,  0.8484031653173956,  0.8509632099305046,                   0, -0.5252252996046288,   1.611606593986931, 0.06600588784037385,   2.125123711598449
                  10,-0.04426307497973038,  0.5233304646092114,  0.8509794386501038,  0.9964422237904451, 0.08427867255452232,                   0,-0.07171941746062331,  0.8479518442484542, -0.5251990051349624, 0.04426307497973038, -0.5233304646092114,  0.8509794386501038, -0.9964422237904451,-0.08427867255452232,                   0, 0.07171941746062331, -0.8479518442484542, -0.5251990051349624,-0.04426307497973038,  0.9964422237904451,-0.07171941746062331,  0.5233304646092114, 0.08427867255452232,  0.8479518442484542,  0.8509794386501038,                   0, -0.5251990051349624,    1.61518825893174, 0.07178104377155829,   2.125339472781731
                  15,-0.04781194821298106,  0.5229741691496316,   0.851006484117678,  0.9958469195484715, 0.09104346668388751,                   0,-0.07747858048454005,  0.8474721857243649, -0.5251551808653022, 0.04781194821298106, -0.5229741691496316,   0.851006484117678, -0.9958469195484715,-0.09104346668388751,                   0, 0.07747858048454005, -0.8474721857243649, -0.5251551808653022,-0.04781194821298106,  0.9958469195484715,-0.07747858048454005,  0.5229741691496316, 0.09104346668388751,  0.8474721857243649,   0.851006484117678,                   0, -0.5251551808653022,   1.618770830775015,  0.0775563070538399,   2.125555431717323
                  20,-0.05135614121180056,  0.5225763805004529,  0.8510443427359584,  0.9952057214585091, 0.09780374213826674,                   0,-0.08323532144517838,  0.8469641991057222, -0.5250938265654248, 0.05135614121180056, -0.5225763805004529,  0.8510443427359584, -0.9952057214585091,-0.09780374213826674,                   0, 0.08323532144517838, -0.8469641991057222, -0.5250938265654248,-0.05135614121180056,  0.9952057214585091,-0.08323532144517838,  0.5225763805004529, 0.09780374213826674,  0.8469641991057222,  0.8510443427359584,                   0, -0.5250938265654248,   1.622354137346418, 0.08333173302489642,   2.125771605158947
