sys.exec.out.time {s},test.att_manager.maneuver.active {--},test.att_manager.maneuver.maneuvering {--},test.att_manager.maneuver.currentEuler {rad},test.att_manager.maneuver.eulerTarget {rad},test.att_manager.quatBodyWrtRef.scalar {--},test.att_manager.quatBodyWrtRef.vector[0] {--},test.att_manager.quatBodyWrtRef.vector[1] {--},test.att_manager.quatBodyWrtRef.vector[2] {--},test.att_manager.maneuver.mnvrRate[0] {rad/s},test.att_manager.maneuver.mnvrRate[1] {rad/s},test.att_manager.maneuver.mnvrRate[2] {rad/s}
                   0,1,1,                   0,  0.5496313191970182,                   1,                   0,                   0,                   0, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.1,1,1,                0.01,  0.5496313191970182,  0.9999875000260421,-0.004991105896724191,0.0001779113401709392,-0.000238749136301548, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.2,1,1,                0.02,  0.5496313191970182,  0.9999500004166659,-0.009982087016060921,0.0003558182325676405,-0.0004774923038871236, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.3,1,1,                0.03,  0.5496313191970182,  0.9998875021093604,-0.01497281858374215,0.0005337162295270598,-0.0007162235341899715, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.4,1,1,                0.04,  0.5496313191970182,    0.99980000666658,-0.01996317583173863,0.0007116008836085392,-0.0009549368589417686, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.5,1,1,                0.05,  0.5496313191970182,  0.9996875162757052,-0.02495303400137907,0.0008894677477049908,-0.001193626310321828, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.6,1,1, 0.05999999999999999,  0.5496313191970182,  0.9995500337489902,-0.02994226834646911,0.001067312375154077,-0.001432285921106298, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.7,1,1, 0.06999999999999999,  0.5496313191970182,   0.999387562523492,-0.03493075413640999,0.001245130319849373,-0.001670909724817339, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.8,1,1,                0.08,  0.5496313191970182,   0.999200106660982,-0.03991836665931678,0.001422917136351523,-0.001909491755872286, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                 0.9,1,1,                0.09,  0.5496313191970182,  0.9989876708478473,-0.04490498122513617,0.001600668379999375,-0.002148026049732789, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
                   1,1,1, 0.09999999999999999,  0.5496313191970182,  0.9987502603949719,-0.04989047316876374,0.001778379607021095,-0.002386506643053927, 0.09982253386118828,-0.003558241629407039,0.004775002621850346
