sys.exec.out.time {s},atmos_rel_verif.atmos_rel.free_stream_vel_mag {m/s},atmos_rel_verif.atmos_rel.free_stream_vel[0] {m/s},atmos_rel_verif.atmos_rel.free_stream_vel[1] {m/s},atmos_rel_verif.atmos_rel.free_stream_vel[2] {m/s},atmos_rel_verif.atmos_rel.free_stream_td_vel[0] {m/s},atmos_rel_verif.atmos_rel.free_stream_td_vel[1] {m/s},atmos_rel_verif.atmos_rel.free_stream_td_vel[2] {m/s},atmos_rel_verif.atmos_rel.free_stream_body_vel[0] {m/s},atmos_rel_verif.atmos_rel.free_stream_body_vel[1] {m/s},atmos_rel_verif.atmos_rel.free_stream_body_vel[2] {m/s},atmos_rel_verif.atmos_rel.free_stream_flight_path {rad},atmos_rel_verif.atmos_rel.free_stream_azimuth {rad},atmos_rel_verif.atmos_rel.angle_of_attack {rad},atmos_rel_verif.atmos_rel.angle_of_sideslip {rad},atmos_rel_verif.atmos_rel.bank_angle {rad},atmos_rel_verif.atmos_rel.total_angle_of_attack {rad},atmos_rel_verif.atmos_rel.phi_roll {rad},atmos_rel_verif.atmos_rel.mach_number {--},atmos_rel_verif.atmos_rel.dynamic_pressure {N/m2},atmos_rel_verif.atmos_rel.drag_accel {m/s2},atmos_rel_verif.atmos_rel.side_accel {m/s2},atmos_rel_verif.atmos_rel.lift_accel {m/s2},atmos_rel_verif.atmos_rel.sensed_accel_mag {m/s2},atmos_rel_verif.atmos_rel.angle_of_attack_alt {rad},atmos_rel_verif.atmos_rel.angle_of_sideslip_alt {rad},atmos_rel_verif.atmos_rel.total_angle_of_attack_alt {rad},atmos_rel_verif.atmos_rel.phi_roll_alt {rad},atmos_rel_verif.atmos_rel.reynolds_number {--},atmos_rel_verif.atmos_rel.qalpha_total_psfdeg {lbf*degree/ft2},atmos_rel_verif.atmos_rel.qalpha_total {N*rad/m2},atmos_rel_verif.atmos_rel.qalpha {N*rad/m2},atmos_rel_verif.atmos_rel.qbeta {N*rad/m2},atmos_rel_verif.atmos_rel.T_inrtl_traj[0][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[0][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[0][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[1][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[1][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[1][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[2][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[2][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_traj[2][2] {--},atmos_rel_verif.atmos_rel.T_traj_body[0][0] {--},atmos_rel_verif.atmos_rel.T_traj_body[0][1] {--},atmos_rel_verif.atmos_rel.T_traj_body[0][2] {--},atmos_rel_verif.atmos_rel.T_traj_body[1][0] {--},atmos_rel_verif.atmos_rel.T_traj_body[1][1] {--},atmos_rel_verif.atmos_rel.T_traj_body[1][2] {--},atmos_rel_verif.atmos_rel.T_traj_body[2][0] {--},atmos_rel_verif.atmos_rel.T_traj_body[2][1] {--},atmos_rel_verif.atmos_rel.T_traj_body[2][2] {--},atmos_rel_verif.atmos_rel.T_traj_wind[0][0] {--},atmos_rel_verif.atmos_rel.T_traj_wind[0][1] {--},atmos_rel_verif.atmos_rel.T_traj_wind[0][2] {--},atmos_rel_verif.atmos_rel.T_traj_wind[1][0] {--},atmos_rel_verif.atmos_rel.T_traj_wind[1][1] {--},atmos_rel_verif.atmos_rel.T_traj_wind[1][2] {--},atmos_rel_verif.atmos_rel.T_traj_wind[2][0] {--},atmos_rel_verif.atmos_rel.T_traj_wind[2][1] {--},atmos_rel_verif.atmos_rel.T_traj_wind[2][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[0][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[0][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[0][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[1][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[1][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[1][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[2][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[2][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_wind[2][2] {--},atmos_rel_verif.atmos_rel.T_wind_stab[0][0] {--},atmos_rel_verif.atmos_rel.T_wind_stab[0][1] {--},atmos_rel_verif.atmos_rel.T_wind_stab[0][2] {--},atmos_rel_verif.atmos_rel.T_wind_stab[1][0] {--},atmos_rel_verif.atmos_rel.T_wind_stab[1][1] {--},atmos_rel_verif.atmos_rel.T_wind_stab[1][2] {--},atmos_rel_verif.atmos_rel.T_wind_stab[2][0] {--},atmos_rel_verif.atmos_rel.T_wind_stab[2][1] {--},atmos_rel_verif.atmos_rel.T_wind_stab[2][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[0][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[0][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[0][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[1][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[1][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[1][2] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[2][0] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[2][1] {--},atmos_rel_verif.atmos_rel.T_inrtl_stab[2][2] {--}
                   0,    28.2842712474619,                  20,                  20,                   0,                  20,                 -20,                   0,                  20,                   0,                  20,                  -0, -0.7853981633974483,  0.7853981633974483,                   0,   3.141592653589793,  0.7853981633974483,                   0, 0.09428090415820634,8.000000000000001e-06,-0.01626345596729059,0.0003999999999999986,-0.01202081528017131, 0.02022770377477385,  0.7853981633974483,                   0,  0.7853981633974483,                   0,  0.1422472569577354,7.51875632393404e-06,6.283185307179588e-06,6.283185307179588e-06,                   0,  0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476,  0.7071067811865476,                   0,  0.7071067811865475,                   0,  0.7071067811865476,                   0,                  -1,                   0,  0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,1.224646799147353e-16,                   0,-1.224646799147353e-16,                  -1,  0.7071067811865475,  0.7071067811865475,                   0,-8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476, -0.7071067811865476,1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,  0.7071067811865475,  0.7071067811865475,                   0,-8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476, -0.7071067811865476,1.224646799147353e-16
                   1,    28.2842712474619,                  20,                  20,                   0,                  20,                 -20,                   0,                  20,                   0,                  20,                  -0, -0.7853981633974483,  0.7853981633974483,                   0,   3.141592653589793,  0.7853981633974483,                   0, 0.09428090415820634,8.000000000000001e-06,-0.01626345596729059,0.0003999999999999986,-0.01202081528017131, 0.02022770377477385,  0.7853981633974483,                   0,  0.7853981633974483,                   0,  0.1422472569577354,7.51875632393404e-06,6.283185307179588e-06,6.283185307179588e-06,                   0,  0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476,  0.7071067811865476,                   0,  0.7071067811865475,                   0,  0.7071067811865476,                   0,                  -1,                   0,  0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,1.224646799147353e-16,                   0,-1.224646799147353e-16,                  -1,  0.7071067811865475,  0.7071067811865475,                   0,-8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476, -0.7071067811865476,1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1,  0.7071067811865475,  0.7071067811865475,                   0,-8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476, -0.7071067811865476,1.224646799147353e-16
                   2,    28.2842712474619,                 -20,                  20,                   0,                  20,                  20,                   0,                  20,                   0,                 -20,                  -0,  0.7853981633974483, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.09428090415820634,8.000000000000001e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385, -0.7853981633974483,                   0,  0.7853981633974483,   3.141592653589793,  0.1422472569577354,7.51875632393404e-06,6.283185307179588e-06,-6.283185307179588e-06,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
                   3,    28.2842712474619,                 -20,                  20,                   0,                  20,                  20,                   0,                  20,                   0,                 -20,                  -0,  0.7853981633974483, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.09428090415820634,8.000000000000001e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385, -0.7853981633974483,                   0,  0.7853981633974483,   3.141592653589793,  0.1422472569577354,7.51875632393404e-06,6.283185307179588e-06,-6.283185307179588e-06,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
                   4,                  10,                  10,                   0,                   0,                   0,                 -10,                   0,                   0,                   0,                  10,                  -0,  -1.570796326794897, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.03333333333333333,               1e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385,   1.570796326794897,                   0,   1.570796326794897,                   0,            0.050292,9.398445404917547e-07,7.853981633974482e-07,-7.853981633974482e-07,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
                   5,    22.3606797749979,                  10,                  20,                   0,                  20,                 -10,                   0,                  20,                   0,                  10,                  -0, -0.4636476090008061, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.07453559924999299,               5e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385,  0.4636476090008061,                   0,  0.4636476090008061,                   0,  0.1124563307244194,4.699222702458774e-06,3.926990816987242e-06,-3.926990816987242e-06,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
                   6,    22.3606797749979,                  10,                 -20,                   0,                  20,                 -10,                   0,                  20,                   0,                  10,                  -0, -0.4636476090008061, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.07453559924999299,               5e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385,  0.4636476090008061,                   0,  0.4636476090008061,                   0,  0.1124563307244194,4.699222702458774e-06,3.926990816987242e-06,-3.926990816987242e-06,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
                   7,   14.14213562373095,                  10,                   0,                  10,                  20,                 -10,                   0,                  20,                   0,                  10,                  -0, -0.4636476090008061, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.04714045207910317,               2e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385,  0.4636476090008061,                   0,  0.4636476090008061,                   0,  0.1124563307244194,4.699222702458774e-06,3.926990816987242e-06,-3.926990816987242e-06,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
                   8,   14.14213562373095,                   0,                  10,                  10,                  20,                 -10,                   0,                  20,                   0,                  10,                  -0, -0.4636476090008061, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.04714045207910317,               2e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385,  0.4636476090008061,                   0,  0.4636476090008061,                   0,  0.1124563307244194,4.699222702458774e-06,3.926990816987242e-06,-3.926990816987242e-06,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
                   9,   14.14213562373095,                   0,                  10,                  10,                  20,                 -10,                   0,                  20,                   0,                  10,                  -0, -0.4636476090008061, -0.7853981633974483,                   0,  -3.141592653589793,  0.7853981633974483,   3.141592653589793, 0.04714045207910317,               2e-06, 0.01202081528017131,0.000400000000000002,-0.01626345596729059, 0.02022770377477385,  0.4636476090008061,                   0,  0.4636476090008061,                   0,  0.1124563307244194,4.699222702458774e-06,3.926990816987242e-06,-3.926990816987242e-06,                   0, -0.7071067811865475,  0.7071067811865475,                   0,                   0,                   0,                  -1, -0.7071067811865476, -0.7071067811865476,                  -0,  0.7071067811865475,                   0, -0.7071067811865476,                   0,                  -1,                  -0, -0.7071067811865475,                   0, -0.7071067811865476,                   1,                   0,                   0,                   0,                  -1,-1.224646799147353e-16,                   0,1.224646799147353e-16,                  -1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16,                   1,                   0,                   0,                   0,                   1,                   0,                   0,                   0,                   1, -0.7071067811865475,  0.7071067811865475,                   0,8.659560562354934e-17,8.659560562354934e-17,                   1,  0.7071067811865476,  0.7071067811865476,-1.224646799147353e-16
