sys.exec.out.time {s},test.var_i {1},test.constraints.threshold_x3s.violation_count {--},test.constraints.threshold_x3s.violated {--},test.constraints.threshold_x3s.tests[0].violation {--},test.constraints.threshold_x3s.tests[1].violation {--},test.constraints.threshold_x3s.tests[2].violation {--},test.constraints.threshold_x3s.tests[0].violation_timer {s},test.constraints.threshold_x3s.tests[1].violation_timer {s},test.constraints.threshold_x3s.tests[2].violation_timer {s},test.constraints.threshold_x3s.test_violated_time_limit {--},test.constraints.threshold_x3s.test_violated_index {--}
                   0,9,0,0,0,0,0,                 0.1,                 0.1,                 0.1,                   0,0
                 0.1,9,0,0,0,0,0,                 0.2,                 0.2,                 0.2,                   0,0
                 0.2,9,0,0,0,0,0,                 0.3,                 0.3,                 0.3,                   0,0
                 0.3,9,0,0,0,0,0,                 0.4,                 0.4,                 0.4,                   0,0
                 0.4,9,1,1,1,0,0,                 0.5,                 0.5,                 0.5,                 0.5,0
                 0.5,9,1,1,1,0,0,                 0.6,                 0.6,                 0.6,                 0.5,0
                 0.6,9,1,1,1,0,0,                 0.7,                 0.7,                 0.7,                 0.5,0
                 0.7,9,1,1,1,0,0,  0.7999999999999999,  0.7999999999999999,  0.7999999999999999,                 0.5,0
                 0.8,9,1,1,1,0,0,  0.8999999999999999,  0.8999999999999999,  0.8999999999999999,                 0.5,0
                 0.9,9,1,1,1,0,0,  0.9999999999999999,  0.9999999999999999,  0.9999999999999999,                 0.5,0
                   1,10,1,0,0,0,0,                   0,                 1.1,                 1.1,                 0.5,0
                 1.1,10,1,0,0,0,0,                   0,                 1.2,                 1.2,                 0.5,0
                 1.2,10,1,0,0,0,0,                   0,                 1.3,                 1.3,                 0.5,0
                 1.3,10,2,1,0,1,0,                   0,                 1.4,                 1.4,                 1.4,1
                 1.4,10,2,1,0,1,1,                   0,                 1.5,                 1.5,                 1.4,1
                 1.5,10,2,1,0,1,1,                   0,                 1.6,                 1.6,                 1.4,1
                 1.6,10,2,1,0,1,1,                   0,                 1.7,                 1.7,                 1.4,1
                 1.7,10,2,1,0,1,1,                   0,                 1.8,                 1.8,                 1.4,1
                 1.8,10,2,1,0,1,1,                   0,   1.900000000000001,   1.900000000000001,                 1.4,1
                 1.9,10,2,1,0,1,1,                   0,                   2,                   2,                 1.4,1
                   2,21,2,1,0,1,1,                   0,   2.100000000000001,   2.100000000000001,                 1.4,1
                 2.1,21,2,1,0,1,1,                   0,   2.200000000000001,   2.200000000000001,                 1.4,1
                 2.2,21,2,1,0,1,1,                   0,   2.300000000000001,   2.300000000000001,                 1.4,1
                 2.3,21,2,1,0,1,1,                   0,   2.400000000000001,   2.400000000000001,                 1.4,1
                 2.4,21,2,1,0,1,1,                   0,   2.500000000000001,   2.500000000000001,                 1.4,1
                 2.5,21,2,1,0,1,1,                   0,   2.600000000000001,   2.600000000000001,                 1.4,1
                 2.6,21,2,1,0,1,1,                   0,   2.700000000000001,   2.700000000000001,                 1.4,1
                 2.7,21,2,1,0,1,1,                   0,   2.800000000000001,   2.800000000000001,                 1.4,1
                 2.8,21,2,1,0,1,1,                   0,   2.900000000000001,   2.900000000000001,                 1.4,1
                 2.9,21,2,1,0,1,1,                   0,   3.000000000000001,   3.000000000000001,                 1.4,1
                   3,25,2,1,0,0,1,                   0,                   0,   3.100000000000001,                 1.5,2
                 3.1,25,2,1,0,0,1,                   0,                   0,   3.200000000000002,                 1.5,2
                 3.2,25,2,1,0,0,1,                   0,                   0,   3.300000000000002,                 1.5,2
                 3.3,25,2,1,0,0,1,                   0,                   0,   3.400000000000002,                 1.5,2
                 3.4,25,2,1,0,0,1,                   0,                   0,   3.500000000000002,                 1.5,2
